order_id,customer_id,order_date,order_amount,currency,order_status
1,5100,2022-10-16,187.32,USD,Completed
2,6011,2022-01-12,345.53,USD,Completed
3,3727,2025-11-20,2334.54,USD,Completed
4,17,2023-01-10,2051.13,USD,Completed
5,9261,2022-11-20,129.74,USD,Completed
6,8809,2024-11-02,2684.32,USD,Completed
7,999,2025-03-23,3307.83,USD,Completed
8,5285,2022-08-01,814.82,USD,Completed
9,5198,2025-07-06,28.61,USD,Completed
10,938,2024-05-08,2306.07,USD,Completed
11,2695,2022-06-08,1792.02,USD,Completed
12,8096,2023-02-09,2660.68,USD,Completed
13,2844,2025-04-12,1887.14,USD,Completed
14,7249,2022-08-31,4519.41,USD,Completed
15,7156,2023-06-17,984.66,USD,Completed
16,5728,2025-01-16,101.52,USD,Completed
17,7286,2025-06-08,2573.82,USD,Completed
18,6291,2024-04-29,2971.7,USD,Completed
19,7861,2024-10-05,1749.39,USD,Completed
20,6098,2024-05-18,1176.69,USD,Completed
21,9291,2024-03-05,327.48,USD,Cancelled
22,3436,2025-10-03,2575.97,USD,Completed
23,50,2023-03-29,614.76,USD,Completed
24,1659,2025-02-08,2126.28,USD,Completed
25,5513,2022-09-02,2046.59,USD,Completed
26,7761,2023-05-26,2475.0,USD,Cancelled
27,4013,2022-03-23,2512.55,USD,Completed
28,1266,2025-05-27,1049.24,USD,Completed
29,5425,2023-09-08,1896.8,USD,Completed
30,9259,2025-08-05,1328.56,USD,Completed
31,7919,2024-08-14,2340.5,USD,Completed
32,8003,2025-09-17,54.8,USD,Completed
33,9007,2023-08-25,1321.53,USD,Completed
34,3968,2023-10-09,145.87,USD,Completed
35,5301,2025-01-04,1818.53,USD,Completed
36,1555,2023-02-28,2151.08,USD,Completed
37,1748,2023-01-04,98.37,USD,Completed
38,7044,2022-04-04,2333.18,USD,Completed
39,6553,2024-02-25,54.0,USD,Completed
40,8461,2023-01-24,316.17,USD,Completed
41,823,2022-05-28,1000.69,USD,Completed
42,5852,2023-08-26,1864.72,USD,Completed
43,9548,2024-10-30,909.68,USD,Completed
44,8893,2025-10-23,3209.34,USD,Cancelled
45,4759,2022-06-19,65.37,USD,Completed
46,3170,2022-02-02,1910.32,USD,Completed
47,5117,2023-04-16,987.99,USD,Completed
48,9190,2025-11-15,2040.72,USD,Completed
49,1472,2024-08-21,1619.48,USD,Completed
50,1021,2022-03-27,1156.62,USD,Completed
51,8338,2024-08-13,2575.16,USD,Completed
52,2294,2023-01-25,4063.66,USD,Completed
53,6067,2022-03-11,933.83,USD,Completed
54,6513,2024-09-03,603.28,USD,Completed
55,2553,2022-08-05,1473.42,USD,Completed
56,4493,2025-10-23,1480.95,USD,Completed
57,5107,2022-09-22,1572.43,USD,Completed
58,7663,2024-06-05,1607.4,USD,Completed
59,6942,2025-03-14,2623.3,USD,Completed
60,5407,2024-02-11,1159.43,USD,Completed
61,6720,2023-02-23,209.98,USD,Completed
62,9806,2022-04-12,2209.02,USD,Completed
63,3202,2024-12-23,126.27,USD,Completed
64,7557,2023-07-25,443.52,USD,Cancelled
65,6756,2025-01-26,1436.72,USD,Completed
66,2423,2022-08-22,2193.2,USD,Cancelled
67,2501,2023-10-30,986.49,USD,Completed
68,1907,2022-03-19,2692.7,USD,Completed
69,2089,2025-01-20,2465.87,USD,Completed
70,9553,2024-12-11,193.07,USD,Completed
71,6053,2024-11-09,1667.19,USD,Completed
72,5679,2023-06-13,755.74,USD,Completed
73,9435,2024-01-22,906.74,USD,Completed
74,9872,2024-05-05,2479.98,USD,Completed
75,125,2023-06-19,765.43,USD,Completed
76,5518,2025-03-13,1366.13,USD,Completed
77,8423,2024-10-17,2782.67,USD,Completed
78,4629,2022-12-24,2491.94,USD,Completed
79,8904,2024-12-20,1105.65,USD,Completed
80,1143,2022-11-20,2049.57,USD,Completed
81,733,2024-11-14,502.52,USD,Completed
82,3757,2024-04-09,1270.77,USD,Completed
83,3213,2025-03-26,1033.81,USD,Completed
84,6741,2025-07-20,2547.88,USD,Completed
85,3979,2024-05-25,1191.58,USD,Completed
86,982,2022-10-21,65.58,USD,Completed
87,8792,2022-05-12,1783.66,USD,Completed
88,7750,2025-05-04,1890.03,USD,Completed
89,171,2022-01-02,3230.3,USD,Completed
90,9818,2023-12-01,1017.15,USD,Completed
91,5454,2022-02-07,2144.6,USD,Completed
92,6717,2022-05-28,243.6,USD,Completed
93,4287,2025-03-23,1695.86,USD,Completed
94,6894,2024-10-16,3886.19,USD,Completed
95,7927,2022-01-18,2459.77,USD,Completed
96,7393,2023-01-30,1058.5,USD,Completed
97,6328,2022-08-18,2055.82,USD,Cancelled
98,4867,2025-10-26,319.64,USD,Cancelled
99,2086,2023-08-27,3954.11,USD,Completed
100,3910,2025-08-21,2954.13,USD,Completed
101,6735,2024-01-05,2509.31,USD,Cancelled
102,4724,2023-11-13,2528.33,USD,Completed
103,5974,2024-08-07,1019.44,USD,Completed
104,247,2024-12-19,629.82,USD,Completed
105,7279,2022-09-05,1110.4,USD,Completed
106,5362,2024-02-11,3121.82,USD,Completed
107,9457,2024-12-01,893.01,USD,Completed
108,2666,2023-02-24,706.3,USD,Completed
109,2958,2025-06-13,3428.72,USD,Completed
110,9934,2025-11-25,1875.07,USD,Cancelled
111,7738,2025-03-06,879.18,USD,Completed
112,6660,2023-05-25,1193.18,USD,Completed
113,3372,2022-03-05,2482.9,USD,Completed
114,221,2022-02-06,939.42,USD,Completed
115,9681,2025-05-27,931.07,USD,Completed
116,5104,2022-03-28,1730.01,USD,Completed
117,8258,2023-03-30,1156.21,USD,Completed
118,7405,2023-09-07,3211.17,USD,Completed
119,965,2024-06-03,2635.84,USD,Completed
120,1841,2024-02-24,1157.02,USD,Completed
121,7588,2025-01-07,2716.61,USD,Completed
122,3618,2025-01-24,1891.0,USD,Completed
123,2138,2022-12-25,2428.94,USD,Completed
124,5311,2025-05-05,2103.2,USD,Completed
125,9460,2024-10-26,932.14,USD,Completed
126,2641,2023-11-21,1933.74,USD,Completed
127,2447,2022-10-08,3782.49,USD,Completed
128,9215,2025-01-28,944.86,USD,Completed
129,7691,2025-10-20,85.88,USD,Completed
130,7048,2024-02-28,1429.7,USD,Cancelled
131,804,2024-11-07,979.1,USD,Completed
132,176,2025-01-03,2239.51,USD,Completed
133,4180,2024-11-27,3074.04,USD,Completed
134,7039,2022-04-10,2459.7,USD,Cancelled
